"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US13057090805","Census Tract 908.05; Cherokee County; Georgia","94","84","10","17","0","14","0","14","59","75","0","14","0","14","0","14","0","14","0","14","25","28",
"1400000US13057090806","Census Tract 908.06; Cherokee County; Georgia","19","31","0","14","19","31","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13057090807","Census Tract 908.07; Cherokee County; Georgia","264","141","85","72","24","40","0","20","0","20","83","89","0","20","50","67","0","20","22","36","0","20",
"1400000US13057090808","Census Tract 908.08; Cherokee County; Georgia","155","116","0","20","17","27","0","20","48","74","86","82","4","16","0","20","0","20","0","20","0","20",
"1400000US13057090809","Census Tract 908.09; Cherokee County; Georgia","195","97","12","22","10","17","16","26","80","74","0","14","0","14","0","14","19","30","10","17","48","47",
"1400000US13057090810","Census Tract 908.10; Cherokee County; Georgia","125","79","0","14","0","14","13","20","49","64","51","59","0","14","0","14","12","18","0","14","0","14",
"1400000US13057090905","Census Tract 909.05; Cherokee County; Georgia","973","278","24","38","0","14","136","127","50","40","136","99","147","98","79","80","185","187","207","122","9","15",
"1400000US13057090906","Census Tract 909.06; Cherokee County; Georgia","162","107","0","20","0","20","0","20","17","23","27","50","0","20","0","20","0","20","70","61","48","52",
"1400000US13057090907","Census Tract 909.07; Cherokee County; Georgia","161","94","18","25","78","90","0","14","24","33","0","14","18","30","0","14","0","14","9","16","14","22",
"1400000US13057090908","Census Tract 909.08; Cherokee County; Georgia","455","193","0","20","23","40","114","114","132","115","7","13","0","20","0","20","81","134","74","98","24","36",
"1400000US13057090909","Census Tract 909.09; Cherokee County; Georgia","915","232","0","20","64","80","55","73","135","142","24","40","28","39","114","121","230","168","265","163","0","20",
"1400000US13057090910","Census Tract 909.10; Cherokee County; Georgia","175","116","0","14","0","14","12","20","0","14","13","22","14","22","0","14","17","27","119","102","0","14",
"1400000US13057090911","Census Tract 909.11; Cherokee County; Georgia","101","73","3","5","0","14","0","14","24","28","0","14","0","14","25","37","33","50","16","27","0","14",
