"GEO_ID","NAME","B25037_001E","B25037_001M","B25037_002E","B25037_002M","B25037_003E","B25037_003M",
"Geography","Geographic Area Name","Estimate!!Median year structure built --!!Total:","Margin of Error!!Median year structure built --!!Total:","Estimate!!Median year structure built --!!Owner occupied","Margin of Error!!Median year structure built --!!Owner occupied","Estimate!!Median year structure built --!!Renter occupied","Margin of Error!!Median year structure built --!!Renter occupied",
"1400000US13057091107","Census Tract 911.07; Cherokee County; Georgia","1998","5","1997","8","1998","12",
"1400000US13057091108","Census Tract 911.08; Cherokee County; Georgia","1989","4","1990","6","1986","7",
"1400000US13063040202","Census Tract 402.02; Clayton County; Georgia","1981","6","1976","8","1987","9",
"1400000US13063040203","Census Tract 402.03; Clayton County; Georgia","1988","14","2004","2","1980","6",
"1400000US13063040204","Census Tract 402.04; Clayton County; Georgia","1988","3","2001","11","1981","3",
"1400000US13063040302","Census Tract 403.02; Clayton County; Georgia","1966","3","1957","2","1969","4",
"1400000US13063040306","Census Tract 403.06; Clayton County; Georgia","1972","5","-","**","1972","5",
"1400000US13063040307","Census Tract 403.07; Clayton County; Georgia","1966","3","1964","3","1978","21",
"1400000US13063040308","Census Tract 403.08; Clayton County; Georgia","1965","5","1957","2","1975","5",
"1400000US13063040309","Census Tract 403.09; Clayton County; Georgia","1970","10","2001","45","1967","2",
"1400000US13063040310","Census Tract 403.10; Clayton County; Georgia","1959","5","1958","4","1962","5",
"1400000US13063040407","Census Tract 404.07; Clayton County; Georgia","1974","4","1976","5","1971","6",
"1400000US13063040409","Census Tract 404.09; Clayton County; Georgia","1987","6","1984","9","1990","7",
"1400000US13063040410","Census Tract 404.10; Clayton County; Georgia","2001","9","2000","7","2001","27",
"1400000US13063040414","Census Tract 404.14; Clayton County; Georgia","1970","7","1967","3","1980","12",
"1400000US13063040416","Census Tract 404.16; Clayton County; Georgia","1968","2","1968","3","1968","3",
"1400000US13063040417","Census Tract 404.17; Clayton County; Georgia","1982","5","1966","2","1986","5",
"1400000US13063040418","Census Tract 404.18; Clayton County; Georgia","1968","3","1966","4","1981","25",
"1400000US13063040419","Census Tract 404.19; Clayton County; Georgia","1978","8","1986","16","1976","9",
"1400000US13063040420","Census Tract 404.20; Clayton County; Georgia","2002","4","2005","4","1983","30",
"1400000US13063040421","Census Tract 404.21; Clayton County; Georgia","2004","2","2004","2","2001","6",
"1400000US13063040422","Census Tract 404.22; Clayton County; Georgia","1988","5","-","**","1989","5",
"1400000US13063040423","Census Tract 404.23; Clayton County; Georgia","1972","15","1981","23","1971","16",
"1400000US13063040424","Census Tract 404.24; Clayton County; Georgia","2003","4","2011","5","2002","5",
"1400000US13063040425","Census Tract 404.25; Clayton County; Georgia","1978","3","1973","3","1988","7",
"1400000US13063040426","Census Tract 404.26; Clayton County; Georgia","1978","3","1976","3","1981","6",
"1400000US13063040427","Census Tract 404.27; Clayton County; Georgia","1998","3","1997","3","2000","5",
"1400000US13063040509","Census Tract 405.09; Clayton County; Georgia","1980","5","1979","3","1987","8",
"1400000US13063040510","Census Tract 405.10; Clayton County; Georgia","1981","8","1992","5","1976","3",
"1400000US13063040512","Census Tract 405.12; Clayton County; Georgia","1981","5","1983","13","1980","6",
"1400000US13063040513","Census Tract 405.13; Clayton County; Georgia","1979","3","1977","3","1986","3",
"1400000US13063040518","Census Tract 405.18; Clayton County; Georgia","1988","8","1980","20","1989","7",
"1400000US13063040519","Census Tract 405.19; Clayton County; Georgia","1989","4","-","**","1989","4",
"1400000US13063040521","Census Tract 405.21; Clayton County; Georgia","1981","7","1984","10","1976","18",
"1400000US13063040522","Census Tract 405.22; Clayton County; Georgia","1980","7","1985","8","1979","7",
"1400000US13063040523","Census Tract 405.23; Clayton County; Georgia","1985","5","1989","22","1983","7",
"1400000US13063040525","Census Tract 405.25; Clayton County; Georgia","1990","4","1990","4","1989","6",
"1400000US13063040527","Census Tract 405.27; Clayton County; Georgia","2001","3","2001","4","2002","3",
"1400000US13063040528","Census Tract 405.28; Clayton County; Georgia","1984","4","1986","5","1983","5",
"1400000US13063040529","Census Tract 405.29; Clayton County; Georgia","1983","5","1985","5","1975","9",
"1400000US13063040530","Census Tract 405.30; Clayton County; Georgia","1990","6","1992","10","1989","7",
"1400000US13063040531","Census Tract 405.31; Clayton County; Georgia","1991","5","1994","12","1991","5",
"1400000US13063040532","Census Tract 405.32; Clayton County; Georgia","1992","3","1995","2","1991","5",
"1400000US13063040533","Census Tract 405.33; Clayton County; Georgia","1980","5","1978","2","1988","16",
"1400000US13063040534","Census Tract 405.34; Clayton County; Georgia","1995","4","1993","5","1998","8",
"1400000US13063040535","Census Tract 405.35; Clayton County; Georgia","1997","3","2001","5","1994","2",
"1400000US13063040536","Census Tract 405.36; Clayton County; Georgia","1981","16","1985","10","1968","29",
"1400000US13063040537","Census Tract 405.37; Clayton County; Georgia","1989","4","1989","11","1989","7",
"1400000US13063040538","Census Tract 405.38; Clayton County; Georgia","1984","2","1982","4","1985","2",
"1400000US13063040606","Census Tract 406.06; Clayton County; Georgia","2004","4","2006","7","2003","4",
"1400000US13063040609","Census Tract 406.09; Clayton County; Georgia","1987","4","1986","3","1993","14",
"1400000US13063040614","Census Tract 406.14; Clayton County; Georgia","1986","2","1986","1","1989","15",
"1400000US13063040615","Census Tract 406.15; Clayton County; Georgia","1985","7","1989","6","1978","7",
"1400000US13063040617","Census Tract 406.17; Clayton County; Georgia","1991","5","1990","5","1993","8",
"1400000US13063040623","Census Tract 406.23; Clayton County; Georgia","1994","4","1994","5","1996","5",
"1400000US13063040624","Census Tract 406.24; Clayton County; Georgia","1992","4","1990","5","1994","4",
"1400000US13063040625","Census Tract 406.25; Clayton County; Georgia","1998","5","1997","6","1998","10",
"1400000US13063040626","Census Tract 406.26; Clayton County; Georgia","2002","2","2002","2","2002","5",
