"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US13057090507","Census Tract 905.07; Cherokee County; Georgia","3072","1367","3072","1367","2914","1378","33","56","0","14","25","34","0","14","0","14","100","59","0","14","100","59","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13057090603","Census Tract 906.03; Cherokee County; Georgia","7138","1058","5917","1049","4609","632","1134","787","0","20","18","31","0","20","0","20","156","127","10","20","146","123","1221","280","580","421","0","20","0","20","0","20","0","20","60","86","581","465","580","465","1","2",
"1400000US13057090604","Census Tract 906.04; Cherokee County; Georgia","3680","414","2033","463","1904","471","24","37","4","7","15","27","0","14","0","14","86","92","49","84","37","44","1647","536","433","445","0","14","663","374","0","14","0","14","539","471","12","29","12","29","0","14",
"1400000US13057090605","Census Tract 906.05; Cherokee County; Georgia","4416","1189","1914","623","1726","631","116","135","0","14","0","14","0","14","0","14","72","65","0","14","72","65","2502","1082","467","417","0","14","607","516","0","14","0","14","35","34","1393","1040","1393","1040","0","14",
"1400000US13057090606","Census Tract 906.06; Cherokee County; Georgia","4138","592","3466","397","2916","429","259","135","0","14","68","101","0","14","0","14","223","88","21","33","202","78","672","612","494","679","16","32","0","14","0","14","0","14","143","93","19","26","19","26","0","14",
"1400000US13057090703","Census Tract 907.03; Cherokee County; Georgia","5394","1043","4394","931","3533","947","814","544","0","20","0","20","0","20","0","20","47","66","0","20","47","66","1000","778","568","808","0","20","201","275","0","20","0","20","142","215","89","107","89","107","0","20",
"1400000US13057090704","Census Tract 907.04; Cherokee County; Georgia","3981","1257","3619","1093","3497","1064","15","26","0","14","0","14","0","14","0","14","107","104","19","25","88","101","362","360","312","339","0","14","0","14","0","14","0","14","10","15","40","56","40","56","0","14",
"1400000US13057090705","Census Tract 907.05; Cherokee County; Georgia","2636","533","2365","484","2283","497","61","76","0","14","0","14","0","14","0","14","21","31","18","30","3","4","271","391","170","387","0","14","0","14","0","14","0","14","0","14","101","87","94","86","7","14",
"1400000US13057090706","Census Tract 907.06; Cherokee County; Georgia","5008","830","4888","822","4633","889","159","230","0","20","18","27","0","20","0","20","78","116","0","20","78","116","120","115","24","37","0","20","0","20","0","20","0","20","25","34","71","80","71","80","0","20",
"1400000US13057090707","Census Tract 907.07; Cherokee County; Georgia","4603","617","4151","478","2649","443","1272","424","0","14","0","14","0","14","0","14","230","133","0","14","230","133","452","422","76","71","122","213","0","14","0","14","0","14","128","132","126","191","96","139","30","56",
"1400000US13057090708","Census Tract 907.08; Cherokee County; Georgia","5768","1279","4691","1282","3418","1231","1163","577","25","39","0","20","0","20","0","20","85","105","62","109","23","32","1077","325","185","321","0","20","0","20","0","20","0","20","0","20","892","605","892","605","0","20",
"1400000US13057090709","Census Tract 907.09; Cherokee County; Georgia","2085","254","1857","274","1595","287","86","108","5","8","0","14","51","60","0","14","120","103","0","14","120","103","228","169","0","14","34","53","0","14","0","14","0","14","105","122","89","103","47","69","42","67",
"1400000US13057090710","Census Tract 907.10; Cherokee County; Georgia","4176","818","4043","836","2680","613","684","538","0","14","151","111","0","14","257","301","271","206","118","123","153","164","133","127","26","31","0","14","0","14","0","14","0","14","0","14","107","118","92","116","15","24",
"1400000US13057090805","Census Tract 908.05; Cherokee County; Georgia","4364","430","3702","464","3317","484","149","130","0","14","80","104","0","14","0","14","156","122","24","42","132","113","662","355","306","328","0","14","0","14","0","14","0","14","94","92","262","204","262","204","0","14",
