"GEO_ID","NAME","B25091_001E","B25091_001M","B25091_002E","B25091_002M","B25091_003E","B25091_003M","B25091_004E","B25091_004M","B25091_005E","B25091_005M","B25091_006E","B25091_006M","B25091_007E","B25091_007M","B25091_008E","B25091_008M","B25091_009E","B25091_009M","B25091_010E","B25091_010M","B25091_011E","B25091_011M","B25091_012E","B25091_012M","B25091_013E","B25091_013M","B25091_014E","B25091_014M","B25091_015E","B25091_015M","B25091_016E","B25091_016M","B25091_017E","B25091_017M","B25091_018E","B25091_018M","B25091_019E","B25091_019M","B25091_020E","B25091_020M","B25091_021E","B25091_021M","B25091_022E","B25091_022M","B25091_023E","B25091_023M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Housing units with a mortgage:","Margin of Error!!Total:!!Housing units with a mortgage:","Estimate!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent","Estimate!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!50.0 percent or more","Margin of Error!!Total:!!Housing units with a mortgage:!!50.0 percent or more","Estimate!!Total:!!Housing units with a mortgage:!!Not computed","Margin of Error!!Total:!!Housing units with a mortgage:!!Not computed","Estimate!!Total:!!Housing units without a mortgage:","Margin of Error!!Total:!!Housing units without a mortgage:","Estimate!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent","Estimate!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!50.0 percent or more","Margin of Error!!Total:!!Housing units without a mortgage:!!50.0 percent or more","Estimate!!Total:!!Housing units without a mortgage:!!Not computed","Margin of Error!!Total:!!Housing units without a mortgage:!!Not computed",
"1400000US13057090603","Census Tract 906.03; Cherokee County; Georgia","1855","250","1478","284","168","127","196","156","311","157","562","257","130","83","25","40","40","64","8","13","38","57","0","20","377","166","322","174","11","18","28","28","0","20","0","20","16","26","0","20","0","20","0","20","0","20",
"1400000US13057090604","Census Tract 906.04; Cherokee County; Georgia","807","159","383","122","14","26","83","56","199","96","56","68","0","14","20","25","9","17","0","14","2","17","0","14","424","152","217","77","26","44","130","110","9","16","10","21","0","14","0","14","10","26","22","38","0","14",
"1400000US13057090605","Census Tract 906.05; Cherokee County; Georgia","654","257","356","125","60","63","60","53","14","17","57","59","6","10","31","48","71","85","19","31","38","34","0","14","298","233","237","230","0","14","20","17","8","12","7","12","0","14","0","14","0","14","26","37","0","14",
"1400000US13057090606","Census Tract 906.06; Cherokee County; Georgia","1015","186","634","176","32","33","139","73","120","80","42","33","59","46","68","65","0","14","138","106","36","35","0","14","381","110","335","112","17","21","0","14","0","14","2","5","0","14","0","14","16","20","11","17","0","14",
"1400000US13057090703","Census Tract 907.03; Cherokee County; Georgia","905","222","542","188","35","37","157","113","65","43","72","61","94","59","0","20","0","20","18","29","101","114","0","20","363","153","237","120","12","19","19","32","9","15","0","20","0","20","0","20","0","20","68","85","18","28",
"1400000US13057090704","Census Tract 907.04; Cherokee County; Georgia","1110","287","820","265","44","37","136","93","160","117","286","225","16","24","60","55","11","17","26","32","81","60","0","14","290","105","127","60","13","20","33","29","18","29","15","25","0","14","0","14","0","14","84","91","0","14",
"1400000US13057090705","Census Tract 907.05; Cherokee County; Georgia","768","176","457","77","137","123","172","107","50","63","59","60","17","20","6","11","0","14","7","12","9","15","0","14","311","162","135","145","38","65","9","15","0","14","0","14","129","159","0","14","0","14","0","14","0","14",
"1400000US13057090706","Census Tract 907.06; Cherokee County; Georgia","1434","384","1113","378","94","110","521","318","84","103","61","42","90","93","184","144","57","66","0","20","12","24","10","18","321","116","223","109","38","49","10","14","0","20","50","48","0","20","0","20","0","20","0","20","0","20",
"1400000US13057090707","Census Tract 907.07; Cherokee County; Georgia","842","136","657","177","135","123","131","93","124","70","88","74","105","87","9","18","24","38","0","14","41","54","0","14","185","144","179","145","0","14","6","22","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13057090708","Census Tract 907.08; Cherokee County; Georgia","1025","204","796","249","0","20","172","143","181","211","76","72","22","43","272","179","0","20","30","53","43","56","0","20","229","161","81","91","35","60","0","20","0","20","0","20","0","20","0","20","90","132","23","40","0","20",
"1400000US13057090709","Census Tract 907.09; Cherokee County; Georgia","777","146","724","153","38","59","121","91","152","117","19","26","222","131","51","54","67","87","20","32","34","46","0","14","53","55","12","25","0","14","16","28","0","14","9","16","16","31","0","14","0","14","0","14","0","14",
"1400000US13057090710","Census Tract 907.10; Cherokee County; Georgia","1183","261","890","259","71","72","122","89","149","101","191","121","244","235","45","77","3","6","10","17","55","54","0","14","293","138","101","76","167","119","13","21","12","21","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13057090805","Census Tract 908.05; Cherokee County; Georgia","1661","172","1054","164","127","86","86","59","270","125","156","103","163","94","71","55","16","19","23","28","91","66","51","76","607","154","346","115","126","96","92","55","27","25","0","14","0","14","0","14","0","14","16","24","0","14",
"1400000US13057090806","Census Tract 908.06; Cherokee County; Georgia","1670","241","985","204","103","60","106","62","204","92","126","80","75","45","45","45","71","72","87","71","168","136","0","14","685","246","488","236","101","78","62","47","7","11","8","13","0","14","0","14","10","17","9","16","0","14",
"1400000US13057090807","Census Tract 908.07; Cherokee County; Georgia","2408","315","2131","320","250","189","279","139","670","196","438","234","211","142","53","52","14","22","29","34","187","146","0","20","277","140","199","119","51","61","0","20","0","20","27","42","0","20","0","20","0","20","0","20","0","20",
